input_text,target_text
sadness to nervousness: Lee's mother was prone to a nervous condition that rendered her mentally and emotionally absent.,A nervous condition that Lee's mother was susceptible to made her mentally and emotionally absent.
"admiration to approval: Like very many other countries, hip hop music is popular.","Like very many other countries, hip hop music is popular."
"admiration to approval: Lighthouse Point Park, a public beach run by the city, was a popular tourist destination during the Roaring Twenties, attracting luminaries of the period such as Babe Ruth and Ty Cobb.","Lighthouse Point Park, a public beach run by the city, was a popular tourist destination during the Roaring Twenties, attracting luminaries of the period such as Babe Ruth and Ty Cobb."
"admiration to approval: The park remains popular among New Haveners, and is home to the Five Mile Point Lighthouse, constructed in 1847, and the Lighthouse Point Carousel, constructed in 1916.","The park remains popular among New Haveners, and is home to the Five Mile Point Lighthouse, constructed in 1847, and the Lighthouse Point Carousel, constructed in 1916."
"disappointment to disapproval: Those with political connections unfairly gained large wealth, which has discredited privatization in these regions.","Those with political connections unfairly gained large wealth, which has discredited privatization in these regions."
"fear to sadness: The South Bronx has some of the poorest neighborhoods in the country, as well as very high crime areas.","The South Bronx has some of the poorest neighborhoods in the country, as well as very high crime areas."
"sadness to disappointment: Soviet investment in and support of Armenian industry has virtually disappeared, so that few major enterprises are still able to function.","Soviet investment in and support of Armenian industry has virtually disappeared, so that few major enterprises are still able to function."
admiration to approval: The city is home to an eclectic mix of ethnic restaurants and small markets specializing in various foreign foods.,The city is home to an eclectic mix of ethnic restaurants and small markets specializing in various foreign foods.
"admiration to approval: Located in the American South, Houston is a diverse city with a large and growing international community.","Situated in the southern part of the United States, Houston is a cosmopolitan city with a significant and growing global population."
"approval to realization: The stream of new software, biotechnology, and Internet companies led to an economic revival, which increased the city's population by almost 50,000 between 1990 and 2000.","The emergence of new software, biotechnology, and Internet companies resulted in an economic revival, which led to a population increase of almost 50,000 in the city between 1990 and 2000."
"admiration to approval: London is one of the world's leading investment destinations, hosting more international retailers and ultra high-net-worth individuals than any other city.","London is a leading investment hub worldwide, with the largest number of international retailers and ultra high-net-worth individuals hosted in the city."
sadness to disappointment: Losing the First Sino-Japanese War of 1894–1895 was a watershed.,Losing the First Sino-Japanese War of 1894–1895 was a watershed.
"admiration to approval: It received generally positive reviews worldwide though some critics panned it as ""an attempt to harness the urban market"".","It received generally positive reviews worldwide though some critics panned it as ""an attempt to harness the urban market""."
disappointment to disapproval: Critical and commercial response to the film was negative.,Critical and commercial response to the film was negative.
"gratitude to admiration: She thanked Christopher Flynn, her dance teacher from 35 years earlier, for his encouragement to follow her dreams.","Christopher Flynn, her dance tutor from 35 years ago, was acknowledged for his encouragement in her pursuit of her dreams."
admiration to approval: The numerous lakes make Switzerland an attractive place for sailing.,The large number of lakes in Switzerland makes it a desirable spot for sailing.
sadness to disappointment: Mass incarceration in the United States disproportionately impacts African American and Latino communities.,Mass incarceration in the United States has a disproportionate effect on African American and Latino communities.
"realization to disappointment: Meanwhile, with the advent and popularity of Internet-based distribution of files in lossily-compressed audio formats such as MP3, sales of CDs began to decline in the 2000s.","Meanwhile, with the advent and popularity of Internet-based distribution of files in lossily-compressed audio formats such as MP3, sales of CDs began to decline in the 2000s."
"admiration to approval: The culture of the city is an important drawcard for tourists, of which just under two million international overnight visitors and 57.7 million domestic overnight visited during the year ending March 2014.","The culture of the city is an important drawcard for tourists, of which just under two million international overnight visitors and 57.7 million domestic overnight visited during the year ending March 2014."
admiration to approval: Melbourne's air quality is generally good and has improved significantly since the 1980s.,Melbourne's air quality is generally decent and has seen a significant improvement since the 1980s.
"admiration to approval: Miami is a major center, and a leader in finance, commerce, culture, media, entertainment, the arts, and international trade.","Miami is a vital hub and a frontrunner in finance, commerce, culture, media, entertainment, the arts, and international trade."
"admiration to approval: Additionally, the port is one of the nation's busiest cargo ports, importing 7.8 million tons of cargo in 2007.","Additionally, the port is one of the nation's busiest cargo ports, importing 7.8 million tons of cargo in 2007."
"admiration to approval: The city has become the principal centre of business and real estate, including many expensive buildings and modern towers for residences and offices, surrounded by extensive green spaces.","The city has become the principal centre of business and real estate, including many expensive buildings and modern towers for residences and offices, surrounded by extensive green spaces."
"confusion to disapproval: However, it is not clear whether there is a strong association between clock gene polymorphisms in humans and the susceptibility to develop the metabolic syndrome.",There is no conclusive evidence to suggest a strong connection between clock gene polymorphisms in humans and the susceptibility to develop the metabolic syndrome.
sadness to disappointment: Civil strife had permanently divided the Mongol Empire.,Civil strife had permanently divided the Mongol Empire.
admiration to approval: He is fairly well acquainted with history and geography...,He is fairly well acquainted with history and geography...
admiration to approval: This boy would make an excellent sailor.,The boy has the necessary attributes to excel as a sailor.
"sadness to remorse: Its bloodless liberal humanism is sadly dated"".",The absence of brutality in its liberal humanism is a regrettable sign of its age.
"excitement to admiration: In 1935 the Cubs claimed the pennant in thrilling fashion, winning a record 21 games in a row in September.","1935 saw the Cubs claim the pennant in a thrilling manner, thanks to their remarkable 21-game winning streak in September."
"sadness to disappointment: In 1891, the Fort was abandoned and much of the interior was stripped of their useful components and it quickly fell into ruin.","In 1891, the Fort was deserted and its practical features were stripped, causing it to deteriorate quickly."
"disappointment to disapproval: Unfortunately, international standards for these specifications are not currently available.","Unfortunately, international standards for these specifications are not currently available."
"excitement to admiration: National events such as Republic Day, Independence Day and Gandhi Jayanti (Gandhi's birthday) are celebrated with great enthusiasm in New Delhi and the rest of India.","National celebrations like Republic Day, Independence Day, and Gandhi Jayanti are marked with great enthusiasm in New Delhi and throughout India."
